file,class,method,variable,usage
C:\DoKit-master\Android\dokit\src\main\java\com\didichuxing\doraemonkit\kit\network\ui\NetworkPagerAdapter.java,com.didichuxing.doraemonkit.kit.network.ui.NetworkPagerAdapter,getCount/0,views,1
C:\DoKit-master\Android\dokit\src\main\java\com\didichuxing\doraemonkit\kit\network\ui\NetworkPagerAdapter.java,com.didichuxing.doraemonkit.kit.network.ui.NetworkPagerAdapter,"instantiateItem/2[com.didichuxing.doraemonkit.kit.network.ui.ViewGroup,int]",mRecord,2
C:\DoKit-master\Android\dokit\src\main\java\com\didichuxing\doraemonkit\kit\network\ui\NetworkPagerAdapter.java,com.didichuxing.doraemonkit.kit.network.ui.NetworkPagerAdapter,"instantiateItem/2[com.didichuxing.doraemonkit.kit.network.ui.ViewGroup,int]",views,1
C:\DoKit-master\Android\dokit\src\main\java\com\didichuxing\doraemonkit\kit\network\ui\NetworkPagerAdapter.java,com.didichuxing.doraemonkit.kit.network.ui.NetworkPagerAdapter,"NetworkPagerAdapter/2[java.util.List<com.didichuxing.doraemonkit.kit.network.ui.NetworkDetailView>,com.didichuxing.doraemonkit.kit.network.bean.NetworkRecord]",mRecord,1
C:\DoKit-master\Android\dokit\src\main\java\com\didichuxing\doraemonkit\kit\network\ui\NetworkPagerAdapter.java,com.didichuxing.doraemonkit.kit.network.ui.NetworkPagerAdapter,"NetworkPagerAdapter/2[java.util.List<com.didichuxing.doraemonkit.kit.network.ui.NetworkDetailView>,com.didichuxing.doraemonkit.kit.network.bean.NetworkRecord]",views,3
C:\DoKit-master\Android\dokit\src\main\java\com\didichuxing\doraemonkit\kit\network\ui\NetworkPagerAdapter.java,com.didichuxing.doraemonkit.kit.network.ui.NetworkPagerAdapter,"destroyItem/3[com.didichuxing.doraemonkit.kit.network.ui.ViewGroup,int,java.lang.Object]",views,1
C:\DoKit-master\Android\dokit\src\main\java\com\didichuxing\doraemonkit\widget\dropdown\DkDropDownMenu.java,com.didichuxing.doraemonkit.widget.dropdown.DkDropDownMenu,"DkDropDownMenu/3[com.didichuxing.doraemonkit.widget.dropdown.Context,com.didichuxing.doraemonkit.widget.dropdown.AttributeSet,int]",iconOrientation,3
C:\DoKit-master\Android\dokit\src\main\java\com\didichuxing\doraemonkit\widget\dropdown\DkDropDownMenu.java,com.didichuxing.doraemonkit.widget.dropdown.DkDropDownMenu,"DkDropDownMenu/3[com.didichuxing.doraemonkit.widget.dropdown.Context,com.didichuxing.doraemonkit.widget.dropdown.AttributeSet,int]",menuUnselectedIcon,3
C:\DoKit-master\Android\dokit\src\main\java\com\didichuxing\doraemonkit\widget\dropdown\DkDropDownMenu.java,com.didichuxing.doraemonkit.widget.dropdown.DkDropDownMenu,"DkDropDownMenu/3[com.didichuxing.doraemonkit.widget.dropdown.Context,com.didichuxing.doraemonkit.widget.dropdown.AttributeSet,int]",mOrientation,2
C:\DoKit-master\Android\dokit\src\main\java\com\didichuxing\doraemonkit\widget\dropdown\DkDropDownMenu.java,com.didichuxing.doraemonkit.widget.dropdown.DkDropDownMenu,"DkDropDownMenu/3[com.didichuxing.doraemonkit.widget.dropdown.Context,com.didichuxing.doraemonkit.widget.dropdown.AttributeSet,int]",textUnselectedColor,2
C:\DoKit-master\Android\dokit\src\main\java\com\didichuxing\doraemonkit\widget\dropdown\DkDropDownMenu.java,com.didichuxing.doraemonkit.widget.dropdown.DkDropDownMenu,"DkDropDownMenu/3[com.didichuxing.doraemonkit.widget.dropdown.Context,com.didichuxing.doraemonkit.widget.dropdown.AttributeSet,int]",menuTextSize,2
C:\DoKit-master\Android\dokit\src\main\java\com\didichuxing\doraemonkit\widget\dropdown\DkDropDownMenu.java,com.didichuxing.doraemonkit.widget.dropdown.DkDropDownMenu,"DkDropDownMenu/3[com.didichuxing.doraemonkit.widget.dropdown.Context,com.didichuxing.doraemonkit.widget.dropdown.AttributeSet,int]",textSelectedColor,2
C:\DoKit-master\Android\dokit\src\main\java\com\didichuxing\doraemonkit\widget\dropdown\DkDropDownMenu.java,com.didichuxing.doraemonkit.widget.dropdown.DkDropDownMenu,"DkDropDownMenu/3[com.didichuxing.doraemonkit.widget.dropdown.Context,com.didichuxing.doraemonkit.widget.dropdown.AttributeSet,int]",maskColor,2
C:\DoKit-master\Android\dokit\src\main\java\com\didichuxing\doraemonkit\widget\dropdown\DkDropDownMenu.java,com.didichuxing.doraemonkit.widget.dropdown.DkDropDownMenu,"DkDropDownMenu/3[com.didichuxing.doraemonkit.widget.dropdown.Context,com.didichuxing.doraemonkit.widget.dropdown.AttributeSet,int]",dividerHeight,1
C:\DoKit-master\Android\dokit\src\main\java\com\didichuxing\doraemonkit\widget\dropdown\DkDropDownMenu.java,com.didichuxing.doraemonkit.widget.dropdown.DkDropDownMenu,"DkDropDownMenu/3[com.didichuxing.doraemonkit.widget.dropdown.Context,com.didichuxing.doraemonkit.widget.dropdown.AttributeSet,int]",containerView,3
C:\DoKit-master\Android\dokit\src\main\java\com\didichuxing\doraemonkit\widget\dropdown\DkDropDownMenu.java,com.didichuxing.doraemonkit.widget.dropdown.DkDropDownMenu,"DkDropDownMenu/3[com.didichuxing.doraemonkit.widget.dropdown.Context,com.didichuxing.doraemonkit.widget.dropdown.AttributeSet,int]",tabMenuView,5
C:\DoKit-master\Android\dokit\src\main\java\com\didichuxing\doraemonkit\widget\dropdown\DkDropDownMenu.java,com.didichuxing.doraemonkit.widget.dropdown.DkDropDownMenu,"DkDropDownMenu/3[com.didichuxing.doraemonkit.widget.dropdown.Context,com.didichuxing.doraemonkit.widget.dropdown.AttributeSet,int]",menuSelectedIcon,3
C:\DoKit-master\Android\dokit\src\main\java\com\didichuxing\doraemonkit\widget\dropdown\DkDropDownMenu.java,com.didichuxing.doraemonkit.widget.dropdown.DkDropDownMenu,"DkDropDownMenu/3[com.didichuxing.doraemonkit.widget.dropdown.Context,com.didichuxing.doraemonkit.widget.dropdown.AttributeSet,int]",dividerColor,2
C:\DoKit-master\Android\dokit\src\main\java\com\didichuxing\doraemonkit\widget\dropdown\DkDropDownMenu.java,com.didichuxing.doraemonkit.widget.dropdown.DkDropDownMenu,setTabClickable/1[boolean],tabMenuView,2
C:\DoKit-master\Android\dokit\src\main\java\com\didichuxing\doraemonkit\widget\dropdown\DkDropDownMenu.java,com.didichuxing.doraemonkit.widget.dropdown.DkDropDownMenu,setTabText/1[java.lang.String],current_tab_position,2
C:\DoKit-master\Android\dokit\src\main\java\com\didichuxing\doraemonkit\widget\dropdown\DkDropDownMenu.java,com.didichuxing.doraemonkit.widget.dropdown.DkDropDownMenu,setTabText/1[java.lang.String],tabMenuView,1
C:\DoKit-master\Android\dokit\src\main\java\com\didichuxing\doraemonkit\widget\dropdown\DkDropDownMenu.java,com.didichuxing.doraemonkit.widget.dropdown.DkDropDownMenu,resetTabText/1[java.lang.String[]],tabMenuView,1
C:\DoKit-master\Android\dokit\src\main\java\com\didichuxing\doraemonkit\widget\dropdown\DkDropDownMenu.java,com.didichuxing.doraemonkit.widget.dropdown.DkDropDownMenu,isShowing/0,current_tab_position,1
C:\DoKit-master\Android\dokit\src\main\java\com\didichuxing\doraemonkit\widget\dropdown\DkDropDownMenu.java,com.didichuxing.doraemonkit.widget.dropdown.DkDropDownMenu,addTabEnd/1[com.didichuxing.doraemonkit.widget.dropdown.View],tabMenuView,4
C:\DoKit-master\Android\dokit\src\main\java\com\didichuxing\doraemonkit\widget\dropdown\DkDropDownMenu.java,com.didichuxing.doraemonkit.widget.dropdown.DkDropDownMenu,setOnItemMenuClickListener/1[com.didichuxing.doraemonkit.widget.dropdown.DkDropDownMenu.OnItemMenuClickListener],itemMenuClickListener,1
C:\DoKit-master\Android\dokit\src\main\java\com\didichuxing\doraemonkit\widget\dropdown\DkDropDownMenu.java,com.didichuxing.doraemonkit.widget.dropdown.DkDropDownMenu,getListView/1[com.didichuxing.doraemonkit.widget.dropdown.View],dropTabViews,2
C:\DoKit-master\Android\dokit\src\main\java\com\didichuxing\doraemonkit\widget\dropdown\DkDropDownMenu.java,com.didichuxing.doraemonkit.widget.dropdown.DkDropDownMenu,getListView/1[com.didichuxing.doraemonkit.widget.dropdown.View],popupMenuViews,1
C:\DoKit-master\Android\dokit\src\main\java\com\didichuxing\doraemonkit\widget\dropdown\DkDropDownMenu.java,com.didichuxing.doraemonkit.widget.dropdown.DkDropDownMenu,"setDropDownMenu/3[java.util.List<java.lang.String>,java.util.List<com.didichuxing.doraemonkit.widget.dropdown.View>,com.didichuxing.doraemonkit.widget.dropdown.View]",popupMenuViews,4
C:\DoKit-master\Android\dokit\src\main\java\com\didichuxing\doraemonkit\widget\dropdown\DkDropDownMenu.java,com.didichuxing.doraemonkit.widget.dropdown.DkDropDownMenu,"setDropDownMenu/3[java.util.List<java.lang.String>,java.util.List<com.didichuxing.doraemonkit.widget.dropdown.View>,com.didichuxing.doraemonkit.widget.dropdown.View]",maskView,6
